Number of Audios,n_fft,Mean Coefficient,Zone Size,Recording Length,Found,Found in First Three
10,2205,0.8,5,5,100.0,100.0
10,2205,0.8,5,10,100.0,100.0
10,2205,0.8,5,20,100.0,100.0
10,2205,0.8,10,5,100.0,100.0
10,2205,0.8,10,10,100.0,100.0
10,2205,0.8,10,20,100.0,100.0
10,2205,0.8,20,5,40.0,40.0
10,2205,0.8,20,10,60.0,60.0
10,2205,0.8,20,20,60.0,70.0
10,2205,1.0,5,5,70.0,100.0
10,2205,1.0,5,10,100.0,100.0
10,2205,1.0,5,20,100.0,100.0
10,2205,1.0,10,5,60.0,100.0
10,2205,1.0,10,10,100.0,100.0
10,2205,1.0,10,20,100.0,100.0
10,2205,1.0,20,5,40.0,50.0
10,2205,1.0,20,10,60.0,80.0
10,2205,1.0,20,20,60.0,70.0
50,2205,0.8,5,5,56.00000000000001,84.0
50,2205,0.8,5,10,76.0,92.0
50,2205,0.8,5,20,90.0,96.0
50,2205,0.8,10,5,66.0,96.0
